GENESYMBOL	TNFa	JAK-STAT	PI3K_only	Wnt	VEGF	MAPK_only	TGFB	IL-1	MAPK_PI3K	TLR	H2O2	CellCycle	
CRABP2	0	0	-0.7163698	0	0	0	0	0	0	0	0	0	
CRAT	0	0	0	0	0	1.5842377	0	0	0	0	0	0	
CRBN	0	0	0	0	0	13.600709	0	0	0	0	0	0	
CREBBP	0	0	0	0	0	0	0	0	0	0	0	0.8534986	
CREBZF	0	0	0	0	0	2.0445545	0	0	0	0	0	0	
CREM	0	6.8168907	0	0	3.4027789	0	0	0	0	0	5.6507483	0	
CRIM1	0	0	0	0	0	10.484347	0	0	0	0	0	0	
CSF1	0	0	0	0	0	0	0	0.96754867	0	0	0	0	
CSF3	0	0	0	0	0	0	0	0	0	-1.1479485	0	0	
CSRNP1	0.67152613	0	0	0	0	0	0	0	0	1.003717	0	0	
CTGF	0	0	0	0	0	0	0	0	26.892796	0	0	0	
CTNNA1	0	0	0	0	0	10.173095	0	0	0	0	0	0	
CTTN	0	0	9.783067	0	0	0	0	0	0	0	0	0	
CUTA	0	0	0	0	0	1.5543879	0	0	0	0	0	0	
CX3CL1	0	0	0	0	0	0	0	-2.03194	0	0	0	0	
CXADR	0	0	0	-1.1771762	0	-2.526156	0	0	0	0	0	0	
CXCL1	12.53504	0	0	0	13.39231	0.86388034	0	17.470686	0	21.605886	0	0	
CXCL2	4.6070642	0	0	0	0	0	0	4.9369907	1.9960504	5.7479377	0	0	
CXCL3	0.36040807	0	0	0	0	0	0	1.5547562	0	2.1165886	0	0	
CXCL5	0	0	0	0	0	0	0	-1.4867113	0	-0.967064	0	0	
CXCL6	5.4633512	0	0	0	0	-0.5751495	0	5.3914533	0	0	0	0	
CXCR4	0	-2.186322	0	0	0	-3.2320173	0	0	-2.6981268	-1.7510908	0	0	
CXXC5	0	0	0	0	0	0	15.301525	0	0	0	0	0	
CYB5D1	0	0	0	0	0	0	0	0	0	3.25456	0	0	
CYLD	0.28951615	0	0	0	0	0	0	-1.1574196	0	0	0	0	
CYP1B1	0	0.28689852	0	0	0	-2.2514641	0	0	-0.3622053	0	0	0	
CYP51A1	0	0	0	0	0	12.874298	0	0	0	0	0	0	
CYR61	15.880949	0	17.572512	0	13.275587	0	0	0	19.580458	0	0	0	
DAB2	7.7407775	0	0	0	0	0	0	0	0	0	0	0	
DACT1	0	0	0	0	0	0	3.589216	0	0	0	0	0	
DCTPP1	0	0	0	0	0	8.020291	0	0	0	0	0	0	
DCUN1D3	3.1296756	0	0	0	0	0	0	0	0	0	0	0	
DDIT3	0	0	0	0	0	0	14.2942295	0	0	0	0	0	
DDIT4	5.0295944	2.9217834	1.3614572	0	0	0	3.3194644	4.010902	2.4473689	0	0	0	
DDOST	0	0	0	0	0	13.926753	0	0	0	0	0	0	
DENND3	-1.9105195	0	0	0	0	0	0	0	0	0	0	0	
DERL1	0	0	6.8398356	0	0	0	0	0	0	0	0	0	
DHRS2	0	0	0	0	0	0	0	0	-2.168392	0	0	0	
DHX40	0	0	0	0	0	2.401897	0	0	0	0	0	0	
DKK1	0	0	0	34.291046	0	0	0	0	0	0	0	0	
DLC1	15.993364	0	0	0	0	11.790417	0	0	0	0	0	0	
DLGAP4	0	0	8.0054655	0	0	0	0	0	0	0	0	0	
DNAJB1	0	0	0	0	0	0	0	0	0.133654	0	0	0	
DNAJB4	0	0	0	0	0	0	0	0	0	1.3426878	0	0	
DNAJC1	0	0	0	0	0	1.545177	0	0	0	0	0	0	
DNAJC16	0	0	0	0	0	20.466446	0	0	0	0	0	0	
DNASE1L1	0	0	0	0	0	0.6418588	0	0	0	0	0	0	
DOCK4	0	0	0	0	0	-1.8156697	0	0	0	0	0	0	
DOCK8	0	0	0	0	0	-3.2137547	0	0	0	0	0	0	
DPH2	0	0	0	0	0	0.19216414	0	0	0	0	0	0	
DPP9	0	0	0	0	0	-1.474539	0	0	0	0	0	0	
DR1	0	0	0	0	0	2.8211806	0	0	0	0	0	0	
DUSP1	15.2190895	16.285484	0	0	18.11989	0	19.040792	13.026961	17.228682	10.211453	20.039305	0	
DUSP2	0	0	0	0	0	0	0	0	-2.4819887	-1.422901	0	0	
DUSP4	0	0	-2.6779857	0	0	0	-1.8520557	0	-2.6482096	0	0	0	
DUSP5	5.749846	7.392736	0	0	5.9191256	0	0	8.454765	5.5535793	8.121757	0	0	
DUSP6	13.238878	13.351618	0	0	0	7.851861	10.273762	14.514884	14.005963	0	14.938799	0	
DUSP8	0	0	0	0	0	0	0	-2.0629866	0	0	0	0	
DYRK2	0	0	0	0	0	0	2.57299	0	0	0	0	0	
E2F1	0	0	0	0	0	0	0	0	0	0	0	-0.5369062	
E2F2	0	0	0	0	0	0	0	0	0	0	0	2.8864398	
E2F3	0	0	0	0	0	0	0	0	0	0	0	0.85512495	
E2F4	0	0	0	0	0	0	0	0	0	0	0	4.9356833	
E2F5	0	0	0	0	0	0	0	0	0	0	0	-0.8702253	
E2F6	0	0	0	0	0	0	0	0	0	0	0	-1.8735801	
E2F7	0	0	0	0	0	0	0	0	0	0.15577954	0	8.497407	
E2F8	0	0	0	0	0	0	0	0	0	0	0	0.3298183	
EBI3	0	0	0	0	0	0	0	0	0	-0.9686973	0	0	
ECHDC2	0	0	0	0	0	0.36043245	0	0	0	0	0	0	
EDN1	0	0	0	0	0.67702585	2.9316616	0	-3.110818	1.1006193	-4.2072277	0	0	
EDNRA	0	0	0	0	0	-0.50792694	0	0	0	0	0	0	
EEF1A1	0	0	0	0	0	1.0947129	0	0	0	0	0	0	
EEF1A2	0	0	-2.8105183	0	0	0	0	0	0	0	0	0	
EFEMP2	0	0	0	0	0	0	10.072847	0	0	0	0	0	
EFNA1	0	0	0	0	0	0	0	-1.9602845	0	0	0	0	
EFNB2	0	0	0	0	0	0	0	0	0	0	2.809633	0	
EGR1	23.692755	26.552664	0	0	28.48618	7.047756	16.801039	24.65705	19.446644	24.38784	0	0	
EGR2	2.552805	1.9176093	0	0	0	0	2.1255999	0	1.3807335	0	0	0	
EGR3	-0.10950521	0	0	0	0.6045221	-2.5545368	0	0	-1.0599029	0	0	0	
EHD1	-2.8159616	0	0	0	0	0	0	-4.5393825	0	-3.6809309	0	0	
EHMT1	0	0	0	0	0	0	0	0	0	0	0	6.3113837	
EID1	0	0	0	0	0	15.41454	0	0	0	0	0	0	
EIF1	0	0	0	0	0	0	0	0	16.434177	0	0	0	
EIF1B	9.589964	0	0	0	0	0	0	0	0	0	0	0	
EIF4E	0	0	0	0	0	0	0	0	0	7.140112	0	0	
EIF4G1	0	0	8.516874	0	0	0	0	0	0	0	0	0	
EIF5A	0	0	-3.319998	0	0	0	0	0	0	0	0	0	
ELF3	0	0	0	0	0	-3.3275242	0	0	0	0	0	0	
ELF4	0	0	0	0	0	-1.8185098	0	0	0	0	0	0	
ELK1	0	0	-1.6182399	0	0	-1.9141139	0	0	0	0	0	0	
ELL2	0	0	0	0	0	0	0	0	0	6.9734793	0	0	
ELN	0	0	0	0	0	0	4.944351	0	0	0	0	0	
ELOVL7	0	0	0	0	0	0	0	0	0	-1.553846	0	0	
EML5	0	0	0	0	0	-1.0434526	0	0	0	0	0	0	
EMP1	0	0	0	0	0	13.076437	10.494948	0	0	0	0	0	
EMP2	0	0	0	0	0	16.00367	0	0	0	0	0	0	
ENC1	0	0	0	0	-0.8454418	0	0.80049896	0	0.4047719	0	0	0	
ENPEP	0	0	0	0	0	-3.118052	0	0	0	0	0	0	
EP300	0	0	0	0	0	0	0	0	0	0	0	0.24789166	
EPAS1	0	0	0	0	0	-0.11710747	0	0	0	0	0	0	
EPC1	0	0	0	0	0	0	0	0	0	0	0	4.1314545	
EPHA2	0	0	0	0	0	0	0	0	3.7785697	0	0	0	
EREG	0	0	0	0	0	0	0	0	0	-1.1009414	0	0	
ERRFI1	15.515997	0	0	0	0	11.282792	14.096804	0	0	0	0	0	
ESPL1	-1.9368255	0	0	0	0	0	0	0	0	0	0	0	
ESR1	0	0	0	0	0	-3.2296584	0	0	0	0	0	0	
ETS1	3.5333717	0	0	0	0	0	0	0	0	0	0	0	
ETS2	-0.7352232	0	0	0	0	0	-0.47341967	0	-0.83247876	0	0	0	
ETV5	0	0	0	0	0	3.4848537	0	0	0	0	0	0	
EXOSC6	0	0	0	0	0	14.007454	0	0	0	0	0	0	
EZH2	0	0	0	0	0	0	0	0	0	0	0	18.172182	
F2RL1	0	0	0	0	0	0	0	0	-0.70263964	0	0	0	
F3	0	0	0	0	6.271733	0	0	0	0	12.467767	0	0	
FAAH	0	0	0	0	0	-3.1948175	0	0	0	0	0	0	
FAM104B	0	0	0	0	0	8.481488	0	0	0	0	0	0	
FAM126B	0	0	0	0	0	-0.41620404	0	0	0	0	0	0	
FAM13A	0	0	0	0	0	2.3770578	0	0	0	0	0	0	
FAM175B	0	0	0	0	0	3.9555683	0	0	0	0	0	0	
FAM46C	0	-1.5137188	0	0	0	0	0	0	0	0	0	0	
FANK1	0	0	0	0	0	-2.8794458	0	0	0	0	0	0	
FAS	10.062708	0	0	0	0	0	0	0	0	0	0	0	
FBN1	0	0	0	0	0	14.143075	0	0	0	0	0	0	
FBXW2	0	0	0	0	0	-0.9502272	0	0	0	0	0	0	
FEM1C	0	-1.09425	0	0	0	0	0	0	0	0	0	0	
FERMT2	0	0	0	0	0	8.775999	0	0	9.23337	0	0	0	
FEZ2	0	0	0	0	0	0	0	-0.13050224	0	0	0	0	
FGF18	0	0	0	0	0	-3.3643315	-2.6471946	0	0	0	0	0	
FGF2	7.3605437	0	0	0	0	0	0	0	0	0	0	0	
FGF7	0	0	0	0	0	0	-2.181153	0	0	0	0	0	
FGFR3	0	0	0	0	0	-3.2401297	0	0	0	0	0	0	
FICD	0	0	0	0	0	5.6388135	0	0	0	0	0	0	
FILIP1L	4.9507055	0	0	0	0	0	7.770584	0	0	0	0	0	
FJX1	0	0	0	0	0	0	0	-3.8978062	0	0	0	0	
FLRT3	0	0	0	0	0	0	0	0	0	0	-3.5640879	0	
FLT1	0	0	0	0	0	0	0	0	0	-1.2899302	0	0	
FLYWCH1	0	0	0	0	0	-0.63202363	0	0	0	0	0	0	
FN3KRP	0	0	0	0	0	2.0247087	0	0	0	0	0	0	
FOLR1	-10.862038	0	0	0	0	0	0	0	0	0	0	0	
FOS	27.151083	28.18139	0	0	0	0	0	0	22.532196	0	0	0	
FOSB	0	0	0	-3.7931273	0	0	0	0	7.412021	0	0	0	
FOSL1	2.344129	0	3.285392	0	0	3.1706018	0	8.426381	5.1130114	0	0	0	
FOSL2	3.7609453	0	0	0	3.7900877	5.555862	0	0	0	0	0	0	
FOXC1	0	0	-1.8328565	0	0	0	0	0	0	0	0	0	
FOXO3	0	0	0	0	0	0	9.183165	0	0	0	0	0	
FST	-3.4020557	0	0	0	0	0	0	-4.797019	0	0	0	0	
FSTL3	0	0	0	0	0	0	-0.23211867	-2.2025545	0	0	0	0	
FZD1	0	0	0	0	0	-2.79064	0	0	0	0	0	0	
FZD10	-2.3056667	0	0	0	0	0	0	0	0	0	0	0	
FZD5	0	-2.5330162	0	0	0	0	0	0	0	0	0	0	
FZD7	1.169026	0	0	0	0	0	0	0	0	0	0	0	
FZR1	0	0	0	0	0	0	0	0	0	0	0	-1.987604	
G0S2	-1.135753	0	0	0	0	0	0	0	0	-0.23105119	0	0	
GABARAPL1	0	0	0	0	0	0	1.6131651	0	0	0	0	0	
GABBR2	0	0	0	0	0	-0.7847566	0	0	0	0	0	0	
GADD45A	0.7057123	0	0	0	0	0	0	3.2567244	0	2.2336094	0	0	
GADD45B	-0.63157487	-1.1471308	0	0	0	-1.9577143	-0.09310201	-0.12038566	0	0	0	0	
GADD45G	0	-5.7882843	0	0	0	0	0	0	0	0	0	0	
GBP1	7.5135474	6.332963	0	0	0	0	0	5.542018	0	7.184626	0	0	
GBP2	2.9160035	2.1447992	0	0	0	0	0	0	0	0	0	0	
GBP3	0	0	0	0	0	0	0	0	0	3.9376545	0	0	
GCH1	-2.3860044	-2.604484	0	0	0	0	0	-2.4158251	0	-2.0414665	0	0	
GCLM	4.561492	0	0	0	0	0	0	0	0	0	0	0	
GDF15	2.9115791	0	0	0	0	-0.30402058	0	2.359641	1.7370127	0	1.8826044	0	
GEM	0.80223507	0.95991755	0	0	0	0	0	0	-1.0396633	1.1319854	0	0	
GFPT2	10.022072	0	0	0	0	0	0	0	0	0	0	0	
GFRA1	0	0	0	0	0	5.432184	0	0	0	0	0	0	
GGCX	0	0	0	0	0	8.733735	0	0	0	0	0	0	
GLRX	0	0	0	0	0	15.957893	0	0	0	0	0	0	
GNA13	0	0	0	0	0	0	3.967803	0	0	0	0	0	
GNAS	0	0	0	0	0	1.2992593	0	0	0	0	0	0	
GNB2	0	0	-0.47755387	0	0	0	0	0	0	0	0	0	
GNG10	0	0	0	0	0	13.019341	0	0	0	0	0	0	
GNG11	0	0	0	0	0	14.883275	0	0	0	0	0	0	
GNG12	0	0	0	0	0	0	13.0363655	0	0	0	0	0	
GNG2	7.2515626	0	0	0	0	0	0	0	0	0	0	0	
GOLGA7	0	0	0	0	0	11.918681	0	0	0	0	0	0	
GPR68	-1.6422701	0	0	0	0	0	-2.4153636	0	0	0	0	0	
GRB2	0	0	0	0	0.37069482	0	0	0	0	0	0	0	
GRB7	0	0	0	0	0	-3.1746666	0	0	0	0	0	0	
GREB1	0	0	0	0	0	-1.5167321	0	0	0	0	0	0	
GRN	0	0	0	0	0	15.809719	0	0	0	0	0	0	
GSK3B	0	0	0	0	0	0	0	0	0	0	0	5.0627637	
GSN	0	-3.0580564	0	0	0	0	0	0	0	0	0	0	
GSTCD	0	0	0	0	0	1.9119345	0	0	0	0	0	0	
H1FX	0	0	-2.7233274	0	0	0	0	0	0	0	0	0	
H2AFJ	0	0	0	0	0	1.4464321	0	0	0	0	0	0	
HAUS4	0	0	0	7.4471135	0	0	0	0	0	0	0	0	
HBEGF	0	0	0	0	-0.011514593	0	0.18964367	1.5888577	0.94125485	0	0	0	
HDAC1	0	0	0	0	0	0	0	0	0	0	0	1.2331444	
HEBP1	0	0	0	0	0	1.8178374	0	0	0	0	0	0	
HES1	0	0	0	0	19.80635	4.462096	13.505132	0	11.584381	0	0	0	
HEY1	0	0	0	0	0.48941532	0	0	0	0	0.24517453	0	0	
HIGD1A	0	0	0	0	0	14.371617	0	0	0	0	0	0	
